question,right,b,c,d,type
რომელი ვიტამინის მიღებაა რეკომენდებული დანამატის სახით თუ ადამიანი არის ექსკლუზიურად ვეგანურ დიეტაზე? (დაასახალეთ ვიტამინი რომელიც მხოლოდ ცხოველურ პროდუქტებში გვხვდება):,B12,ვიტამინი C,ვიტამინი D,ვიტამინი E,1
რომელი ვიტამინის მიღებაა აუცილებელი სხვადასხვა ინფექციების სამკურნალოდ?,სპეციფიკური ვიტამინების მიღება არ არის საჭირო თუ არ გვაქვს ლაბორატორიულად დადასტურებული რომელიმე ვიტამინის დეფიციტი და ვიღებთ დაბალანსებულ საკვებ რაციონს,აუცილებელია C ვიტამინის დიდი დოზით მიღება,ყოველთვის საჭიროა D ვიტამინის დანამატის მიღება,B ჯგუფის ვიტამინების მიღება აუცილებელია,
ჯანსაღი საკვები რაციონის შედგენისას რომელი ქვემოთ ჩამოთვლილი ნუტრიენტების შემცირებაა რეკომენდებული?,მარტივი ნახშირწყლები,ცილები,ჯანსაღი ცხიმები,რთული ნახშირწყლები,
აღწერეთ ოპიოიდური ნარკოტიკების ეფექტი ხანგრძლივი მოხმარებისას:,ჰეროინი მორფინი მეტადონი ფენტანილი (ფიზიკური დამოკიდებულება),მხოლოდ ფსიქოლოგიური დამოკიდებულება,არანაირი დამოკიდებულება,მხოლოდ ფიზიკური დამოკიდებულება,
რომელი ქვემოთ ჩამოთვლილი რისკ-ფაქტორი არის ასოცირებული ნივთიერებების მოხმარების დარღვევასთან?,მენტალური ჯანმრთელობის პრობლემა,მაღალი შემოსავალი,სტაბილური დასაქმება,სოციალური აქტივობა,
რომელი ქვემოთ ჩამოთვლილი სიმპტომია დამახასიათებელი მწვავე ალკოჰოლის აღკვეთის სინდრომისთვის?,ჰალუცინაციები,გაზრდილი მადა,ჰიპერსომნია,დაბალი არტერიული წნევა,
რომელი ნივთიერების აღკვეთის სინდრომი შეიძლება იყოს პოტენციურად სასიკვდილო ამ ნივთიერების ქრონიკულად მოხმარებისას?,ალკოჰოლი,კოფეინი,მარიხუანა,ნიკოტინი,1
რომელი დებულებაა მართებული კოფეინთან დაკავშირებით?,400მგ-მდე მიღება სასარგებლოა,ნებისმიერი რაოდენობით მიღება საზიანოა,არანაირ გავლენას არ ახდენს ორგანიზმზე,დიდი დოზებით აუცილებლად იწვევს დამოკიდებულებას,
რომელი ქვემოთ ჩამოთვლილი მიეკუთვნება ე.წ. „კლუბურ ნარკოტიკებს“?,MDMA,ნიკოტინი,ალკოჰოლი,კოფეინი,1
რომელი ქვემოთ ჩამოთვლილი ხასიათდება ძლიერი ჰალუცინოგენური ეფექტით? (იწვევს ჰალუცინაციებს),ჰალუცინოგენები: LSD სოკო პეიოტის კაქტუსი,კანაბინოიდები,ოპიოიდები,სედატივები,
რომელი პრეპარატის მოქმედებას ახასიათებს ე.წ. „თეთრი გვირაბის“ ეფექტი?,კეტამინი,კოკაინი,მეტამფეტამინი,ჰეროინი,1
რომელი მდგომარეობა აღწერს ყველაზე უკეთ შემდეგ სიმპტომებს: გუნება-განწყობის დაქვეითება მომატებული დანაშაულის გრძნობა ხშირი ძილიანობა მადის დაქვეითება ანჰედონია მაღალი თვითშეფასება?,ბიპოლარული აშლილობა რადგან აქ შერეულია მანიისა და დეპრესიის სიმპტომები,მხოლოდ მანიაკური ეპიზოდი,მხოლოდ დეპრესიული ეპიზოდი,ნარკოლეფსია,
რა არის პანიკური შეტევების მიზეზი?,არ აქვს კონკრეტული მიზეზი,ყოველთვის დაკავშირებულია კონკრეტულ ტრავმასთან,გამოწვეულია დაბალი შაქრის დონით,გამოწვეულია ყოველთვის კოფეინის ჭარბი მიღებით,
დაქვეითებული გუნება-განწყობა მუდმივი დაღლილობის შეგრძნება ახასიათებს მოულოდნელი ჩაძინების ეპიზოდები:,ნარკოლეფსია,შფოთვითი აშლილობა,ობსესიურ-კომპულსიური აშლილობა,ბიპოლარული აშლილობა,
მეგობარმა გთხოვათ 30 წუთში გააღვიძოთ თუმცა უკვე 5 წუთია ვერ აღვიძებთ რომელ ფაზაშია?,NREM3 ან 4,REM,NREM1,NREM2,1
თუ ძილის რეჟიმი არეული გვაქვს მაშინ რა უნდა გავაკეთოთ?,ვეცადოთ დავიძინოთ და გავიღვიძოთ ერთსა და იმავე დროს,დავიძინოთ მხოლოდ მაშინ როცა დაგვეძინება,დავიძინოთ სხვადასხვა დროს ყოველდღე,მივიღოთ დიდი დოზით კოფეინი ძილის წინ,
რას გულისხმობს მენტალური ჯანმრთელობა?,ემოციურ ფსიქიკურ და სოციალურ კეთილდღეობას,მხოლოდ ფსიქიკურ ჯანმრთელობას,მხოლოდ სოციალურ კეთილდღეობას,მხოლოდ ემოციურ კეთილდღეობას,
რომელი ქვემოთ ჩამოთვლილი საშუალება არის საუკეთესო პრევენცია „გაციების“ თავიდან ასარიდებლად?,ხელების ხშირი დაბანა და ოთახის განიავება,ანტიბიოტიკების რეგულარული მიღება,დიდი რაოდენობით C ვიტამინის მიღება,პირბადის ტარება ზაფხულში,
რომელი ქვემოთ ჩამოთვლილი არის რეკომენდებული გაციების სამკურნალოდ?,დასვენება და სითხის ადეკვატური მიღება,ანტიბიოტიკების დაუყოვნებლივ მიღება,ალკოჰოლის მიღება სხეულის გასათბობად,სრული შიმშილი და ცივი შხაპი,
რას გულისხმობს ანტისეპტიკა?,მიკროორგანიზმების რაოდენობის შემცირება,მიკროორგანიზმების სრული განადგურება,ზედაპირის უბრალო გასუფთავება,ქიმიური ნივთიერებების გამოყენება,
რას გულისხმობს ასეპტიკა?,საშუალებებს რომლებიც მიკროორგანიზმებს სრულიად გაანადგურებს არსებული ზედაპირიდან,მიკროორგანიზმების რაოდენობის შემცირებას,მხოლოდ ჭუჭყის მოშორებას,ბაქტერიების ზრდის შეფერხებას,
რომელ სქესობრივი გზით გადამდებ ინფექციაზე სასურველია ერთხელ მაინც ჩატარდეს სკრინინგული ტესტი?,შიდსი,C ჰეპატიტი,ადამიანის პაპილომავირუსი,ტრიქომონიაზი,1
სქესობრივი გზით გადამდები ინფექციები:,შიდსი სიფილისი გონორეა ქლამიდია შანკროიდი კონდილომა ტრიქომონიაზი B ჰეპატიტი,გრიპი გაციება ყივანახველა,წითელა წითურა ყბაყურა,ტუბერკულოზი მალარია დიზენტერია,
რომელმა მეცნიერმა აღმოაჩინა ანტიბიოტიკი და შექმნა სიფილისის საწინააღმდეგო წამალი?,პოლ ერლიხმა,ალექსანდერ ფლემინგი,რობერტ კოხი,ლუი პასტერი,
რომელი მეცნიერის სახელს უკავშირდება ბაქტერიოფაგების აღმოჩენა?,ფელიქს დერელი,ფრედერიკ უილიამ ტვიორტი,გიორგი ელიავა,ალექსანდერ ფლემინგი,
რომელი მეცნიერის ინიციატივით შეიქმნა პირველი ბაქტერიოფაგების შემსწავლელი ინსტიტუტი?,გიორგი ელიავა,ფელიქს დერელი,ჟორჟ მატე,ერნესტ მაკკულოხი,
პენიცილინი წარმოქმნილია:,სოკოების მიერ,ბაქტერიების მიერ,ვირუსების მიერ,ადამიანის მიერ,1
რომელი მიკროორგანიზმია ადამიანის მიკრობიომის შემადგენელი და გვეხმარება ბევრ პროცესში?,ბაქტერია,ვირუსი,სოკო,პარაზიტი,1
რა ტიპის ინფექციური დაავადების სამკურნალოდ შეიძლება იყოს ბაქტერიოფაგები ეფექტური?,ბაქტერიული,ვირუსული,სოკოვანი,პარაზიტული,
რა არის ბაქტერიოფაგი?,ვირუსი რომელიც აინფიცირებს ბაქტერიას,ბაქტერია რომელიც აინფიცირებს ვირუსს,სოკო რომელიც აინფიცირებს ბაქტერიას,ბაქტერია რომელიც კლავს ვირუსს,
რა თვისებით ხასიათდება ღეროვანი უჯრედები?,შეუძლია გარდაიქმნას სხვადასხვა ტიპის უჯრედებად,ისინი მხოლოდ ერთ კონკრეტულ უჯრედად იქცევიან,მათ არ შეუძლიათ გაყოფა,მათ არ აქვთ ბირთვი,
დაასახელეთ ზრდასრული ადამიანის ღეროვანი უჯრედების ტიპი:,ძვლის ტვინი,ნერვული უჯრედები,კუნთოვანი უჯრედები,კანის უჯრედები,
რას წარმოადგენს შინია იამანაკას აღმოჩენა ღეროვან უჯრედებთან დაკავშირებით?,ზრდასრული უჯრედების სტიმულაციით შესაძლებელია ღეროვანი უჯრედის მიღება,ღეროვანი უჯრედების ხელოვნური შექმნა ნულიდან,ბაქტერიების ღეროვან უჯრედებად გარდაქმნა,მხოლოდ სასქესო უჯრედების გამოყენება,
ვინ შექმნა პენიცილინი?,ალექსანდერ ფლემინგმა,ედუარდ ჯენერი,ლუი პასტერი,რობერტ კოხი,
ვინ აღმოაჩინა ღეროვანი უჯრედები?,ჯეიმს ტილმა და ერნესტ მაკკულოხმა,შინია იამანაკა,ჯეიმს უოტსონი,ფრენსის კრიკი,
რომელმა მეცნიერებმა განსაზღვრეს ღეროვანი უჯრედების თვისებები და აღმოაჩინეს სისხლის უჯრედების წარმომქმნელი ღეროვანი უჯრედები?,ჯეიმს ტილმა და ერნესტ მაკკულოხმა,შინია იამანაკა,ჯეიმს უოტსონი,ფრენსის კრიკი,
რომელმა მეცნიერმა ჩაატარა პირველად თერაპია ღეროვანი უჯრედების გამოყენებით ძვლის ტვინის ტრანსპლანტაცია?,ჟორჟ მატემ,ჯეიმს ტილი,ერნესტ მაკკულოხი,ფელიქს დერელი,
ვინ აღმოაჩინა მდინარეში ბაქტერიოფაგი?,ფრედერიკ უილიამ ტვიორტმა,ფელიქს დერელი,გიორგი ელიავა,ჟორჟ მატე,
